% raindrop T-matrix calculations using the code of Leinonen, J., "Python code for T-matrix scattering calculations". Available at https://github.com/jleinonen/pytmatrix/. 
% 
% refractive index calculations after Turner et al. (2005): An Improved Liquid Water Absorption Model at Microwave Frequencies for Supercooled Liquid Water Clouds  
% 
% raindrop aspect ratio estimated with the methodology of Brandes, Edward & Zhang, Guifu & Vivekanandan, Jothiram. (2005). Corrigendum. Journal of Applied Meteorology. 44. 186-. 10.1175/1520-0450(2005)44<186:C>2.0.CO;2. 
% 
% wave length: 8.444858 mm 
% temperature: 283.15 K 
% refractive index: 4.643598303413382311e+00 + 2.620566571460181127e+00 i 
% 
%r_eqv[mm]               axial ratio              ext[mm2]                 sca[mm2]                 back[mm2]
5.000000000000000104e-03 9.999900000999989436e-01 9.797599760242982241e-08 3.591501320472781540e-14 5.387156727376376775e-14
1.000000000000000021e-02 9.999900000999989436e-01 7.841697716459249618e-07 2.298666590329784056e-12 3.447755528943930603e-12
1.499999999999999944e-02 9.999900000999989436e-01 2.648615771843117188e-06 2.618525091832495604e-11 3.927161191521554833e-11
2.000000000000000042e-02 9.999900000999989436e-01 6.285005595321573555e-06 1.471416988418035436e-10 2.206499741029244097e-10
2.500000000000000139e-02 9.999900000999989436e-01 1.229255983660406011e-05 5.613782829910274703e-10 8.416944944180491587e-10
2.999999999999999889e-02 9.999900000999989436e-01 2.127793114077529340e-05 1.676548742081695693e-09 2.513219867068463816e-09
3.500000000000000333e-02 9.999900000999989436e-01 3.385714801038329860e-05 4.228470074514485928e-09 6.337203695512932645e-09
4.000000000000000083e-02 9.999900000999989436e-01 5.065759272097889224e-05 9.423984525987112009e-09 1.411997052164670508e-08
4.499999999999999833e-02 9.999900000999989436e-01 7.232001591319522590e-05 1.911008548138669866e-08 2.862407271453215428e-08
5.000000000000000278e-02 9.999900000999989436e-01 9.950061285978750183e-05 3.596944069620352144e-08 5.385882123877831511e-08
5.500000000000000028e-02 9.999900000999989436e-01 1.328731298903600101e-04 6.374252444993340390e-08 9.540949966378421269e-08
5.999999999999999778e-02 9.999900000999989436e-01 1.731310401253767419e-04 1.074764671546815063e-07 1.608051041322936520e-07
6.500000000000000222e-02 9.999900000999989436e-01 2.209897144884621770e-04 1.738009030776221269e-07 2.599246742038269132e-07
7.000000000000000666e-02 9.999900000999989436e-01 2.771887372923134544e-04 2.712310658303918463e-07 4.054421983943209837e-07
7.499999999999999722e-02 9.999900000999989436e-01 3.424942527950247586e-04 4.104983902734050427e-07 6.133100574480357207e-07
8.000000000000000167e-02 9.999900000999989436e-01 4.177012774598551446e-04 6.049086830329437272e-07 9.032806409074476431e-07
8.500000000000000611e-02 9.999900000999989436e-01 5.036362039184918071e-04 8.707285415518214944e-07 1.299466666231614176e-06
8.999999999999999667e-02 9.999900000999989436e-01 6.011593800158782303e-04 1.227600457134094604e-06 1.830940332982340845e-06
9.500000000000000111e-02 9.999900000999989436e-01 7.111675316613776457e-04 1.698985746450548388e-06 2.532369479799519508e-06
1.000000000000000056e-01 9.999900000999989436e-01 8.345965801200255340e-04 2.312638204433659042e-06 3.444694501453517202e-06
1.049999999999999961e-01 9.999900000999989436e-01 9.724244987214570885e-04 3.101105203541214848e-06 4.615840514304920985e-06
1.100000000000000006e-01 9.999900000999989436e-01 1.125673595344013232e-03 4.102261068965975330e-06 6.101471385053201937e-06
1.150000000000000050e-01 9.999900000999989436e-01 1.295414213352664686e-03 5.359869618852978095e-06 7.965780288680151042e-06
1.199999999999999956e-01 9.999900000999989436e-01 1.482767037928979037e-03 6.924178443694742741e-06 1.028232002087404906e-05
1.250000000000000000e-01 9.999900000999989436e-01 1.688906499486729756e-03 8.852542680417692459e-06 1.313486898721554073e-05
1.300000000000000044e-01 9.999900000999989436e-01 1.915063888237202375e-03 1.121008199151268452e-05 1.661833772620764551e-05
1.350000000000000089e-01 9.999900000999989436e-01 2.162530483421779785e-03 1.407037916544306230e-05 2.083972786603320771e-05
1.400000000000000133e-01 9.999900000999989436e-01 2.432661172481286223e-03 1.751618560939847976e-05 2.591909085172625505e-05
1.449999999999999900e-01 9.999900000999989436e-01 2.726877484796055677e-03 2.164019842124267581e-05 3.199058236587608051e-05
1.499999999999999944e-01 9.999900000999989436e-01 3.046671977918048984e-03 2.654583721564034846e-05 3.920350450724408389e-05
1.549999999999999989e-01 9.999900000999989436e-01 3.393610674523360807e-03 3.234808748871589347e-05 4.772343482474957464e-05
1.600000000000000033e-01 9.999900000999989436e-01 3.769338051824341375e-03 3.917434772101727110e-05 5.773334728748570659e-05
1.650000000000000078e-01 9.999900000999989436e-01 4.175579810323402571e-03 4.716533281831568575e-05 6.943480374122233982e-05
1.700000000000000122e-01 9.999900000999989436e-01 4.614147669627367311e-03 5.647603197520706126e-05 8.304921194198414233e-05
1.750000000000000167e-01 9.999900000999989436e-01 5.086943705674754762e-03 6.727665574413127438e-05 9.881905174235882793e-05
1.799999999999999933e-01 9.999900000999989436e-01 5.595963098753465280e-03 7.975366265111313337e-05 1.170092051850493074e-04
1.849999999999999978e-01 9.999900000999989436e-01 6.143300105953096099e-03 9.411086631906628028e-05 1.379083885934215010e-04
1.900000000000000022e-01 1.000338260324268314e+00 6.732408247715657504e-03 1.105975840590144754e-04 1.618716102491398042e-04
1.950000000000000067e-01 1.000344839311130496e+00 7.363204966388807449e-03 1.294065073104790943e-04 1.891649250272037816e-04
2.000000000000000111e-01 1.000357515291503407e+00 8.039271930675610106e-03 1.508235268577309883e-04 2.201924334823327878e-04
